username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MzBossHawg;2015-09-06 16:57;0;0;"#surprised #grandpa ! ! We were so #happy to see him ;);) #family #love #Mississippi @… https://instagram.com/p/7TvMJ4w5-4/";Mississippi, USA;@;#surprised #grandpa #happy #family #love #Mississippi;"640675147595296768";https://twitter.com/MzBossHawg/status/640675147595296768
misstiffie;2015-09-06 16:49;0;1;"just got kissed by an #alpaca during our #selfie - me #surprised and @freeenergy777 is laughing his… https://instagram.com/p/7TuVbpApQu/";;@freeenergy777;#alpaca #selfie #surprised;"640673271252418560";https://twitter.com/misstiffie/status/640673271252418560
Reezzy92;2015-09-06 16:46;0;0;"@TheRock Drawing of your poster from #WakeUpCall #art #Autistic #ReezzyArt #TheRock #BallersHBO";;@TheRock;#WakeUpCall #art #Autistic #ReezzyArt #TheRock #BallersHBO;"640672545465892864";https://twitter.com/Reezzy92/status/640672545465892864
BaileysBakeshop;2015-09-06 16:46;0;0;"Bailey's little bakeshop has gone national. #surprise #delicious #delivery from #ontario to… https://instagram.com/p/7Tt6LjlnNO/";;;#surprise #delicious #delivery #ontario;"640672329597612033";https://twitter.com/BaileysBakeshop/status/640672329597612033
alexamarie0821;2015-09-06 16:45;0;1;"Because Stephen Morris is a better idea than Tebow.... #dumbfounded #chipkellypunchesbabies";;;#dumbfounded #chipkellypunchesbabies;"640672097874915328";https://twitter.com/alexamarie0821/status/640672097874915328
LizWadamn;2015-09-06 16:44;0;0;"Lol all of their aerial shots of the expressway have traffic #shocker ?";Dedham, MA;;#shocker;"640671904978874368";https://twitter.com/LizWadamn/status/640671904978874368
healthypanman;2015-09-06 16:44;0;1;"@loramarie03 You mean, like, you've never seen it before??? #shocked :)";;@loramarie03;#shocked;"640671850599575553";https://twitter.com/healthypanman/status/640671850599575553
patraco88;2015-09-07 16:56;0;0;"Foto: pokemon-photography: #shock the vote 2016 http://tmblr.co/ZFw5_s1tm-PDN";;;#shock;"641037442422841344";https://twitter.com/patraco88/status/641037442422841344
garduno73;2015-09-07 16:55;0;0;"Queensland tradesman finds huge python in toilet #Australia #surprise #toilet https://au.news.yahoo.com/nsw/a/29451939/queensland-tradesman-finds-huge-python-in-toilet/";;;#Australia #surprise #toilet;"641037140818685952";https://twitter.com/garduno73/status/641037140818685952
lexxy_squirrly;2015-09-07 16:55;0;0;"Is Attraction #Marketing Duplicatable? The Answer Might #Shock You! http://buff.ly/1K0MyPZ";;;#Marketing #Shock;"641037042588229634";https://twitter.com/lexxy_squirrly/status/641037042588229634
dilantekkilic;2015-09-07 16:50;0;0;"#KanyeWest ❤️ #not #surprised at all,everyone knows that I #love even expecting it #KanyeForPresident 😄";;;#KanyeWest #not #surprised #love #KanyeForPresident;"641035803037184000";https://twitter.com/dilantekkilic/status/641035803037184000
5emilymae5;2015-09-07 16:49;0;1;"So @alissaamarie ... Since you made me want a cat and mom won't let me have one. I'm moving in with y'all 😌 🐱 😈 #surprise";;@alissaamarie;#surprise;"641035531565027328";https://twitter.com/5emilymae5/status/641035531565027328
pure_dubstep;2015-09-07 16:44;0;0;"Stimulation EP OUT NOW. Download from http://www.audionexus.org #ep #surprise #stimulation #dubstep #grime … https://instagram.com/p/6-ERKFTVCI/";;;#ep #surprise #stimulation #dubstep #grime;"641034210380259328";https://twitter.com/pure_dubstep/status/641034210380259328
jutreme;2015-09-07 16:42;0;0;"Adriana Lima #Bombshell #Gorgeous #VS";;;#Bombshell #Gorgeous #VS;"641033787191771137";https://twitter.com/jutreme/status/641033787191771137
WndrlandBoudoir;2015-09-07 16:37;0;0;"#SURPRISE ! I have been WAITING to tell y'all this! I am an official #Boudoir writer for Boudoir International! http://buff.ly/1IT8FXP";;;#SURPRISE #Boudoir;"641032497321672704";https://twitter.com/WndrlandBoudoir/status/641032497321672704
TheMajesticFive;2015-09-08 16:59;0;0;"The past week I've been thinking about giving my friend a shocking surprise. More details soon. #surprise 😈";;;#surprise;"641400605383241728";https://twitter.com/TheMajesticFive/status/641400605383241728
CallDT;2015-09-08 16:59;1;1;"#Syracuse Offensive Coordinator/QB Coach @CoachTimLester offers his thoughts on #WakeUpCall TV: http://youtu.be/jbLqBRo-iXY #Cuse #CNY";;@CoachTimLester;#Syracuse #WakeUpCall #Cuse #CNY;"641400486873141249";https://twitter.com/CallDT/status/641400486873141249
RelaxInBahamas;2015-09-08 16:56;0;0;"wetebonypussy: Blog Post: http://bit.ly/1JRfgDI #Bibi #Ebony #Bahamas #Bombshell #Model #Ethnic #Slender #VeryH … https://twitter.com/wetebonypussy/status/641399169953996801/photo/1";;;#Bibi #Ebony #Bahamas #Bombshell #Model #Ethnic #Slender #VeryH;"641399724201783297";https://twitter.com/RelaxInBahamas/status/641399724201783297
MalMadMic;2015-09-08 16:55;0;1;"@stacie9853 hey @joeymcintyre our photo group is crazy. #SHOCKER 😜";Fairfield, OH;@stacie9853 @joeymcintyre;#SHOCKER;"641399461571371008";https://twitter.com/MalMadMic/status/641399461571371008
jackeryinc;2015-09-08 16:46;0;1;"We have a #special , extremely #limited , #surprise for you guys tomorrow! So make sure you answer our #question in our previous #tweet !";;;#special #limited #surprise #question #tweet;"641397273025359872";https://twitter.com/jackeryinc/status/641397273025359872
neal09;2015-09-08 16:41;0;0;"@Scream_Factory This is one of my favorite Wes Craven movies. It has a sense of humor similar to Evil Dead 2. Check it out. #Shocker";;@Scream_Factory;#Shocker;"641395960996851712";https://twitter.com/neal09/status/641395960996851712
gloriaJ2014;2015-09-08 16:41;0;9;"Every man cheats. #surprised 😳";;;#surprised;"641395878222282752";https://twitter.com/gloriaJ2014/status/641395878222282752
variir;2015-09-09 16:59;0;0;"Pillar makes the final out of an inning? #shocker";;;#shocker;"641763001767436288";https://twitter.com/variir/status/641763001767436288
