username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
YearInGodsTime;2015-12-25 15:59;2;9;"Eternal God, in all creation nothing can contain your presence, except a human. We proclaim the glorious mystery of Christmas. #joy #ApplyNow";;;#joy #ApplyNow;"680538502841430016";https://twitter.com/YearInGodsTime/status/680538502841430016
BellespritMagaz;2015-12-25 15:59;0;0;"Are you living an #Authentic Life? filled w #Happiness #GaryLoper http://bit.ly/1HYDbpG #BelleSprit";;;#Authentic #Happiness #GaryLoper #BelleSprit;"680538499318169600";https://twitter.com/BellespritMagaz/status/680538499318169600
T_RayBiz;2015-12-25 15:59;0;0;"Yes lord.... #happy #blessed #dinnerisserved https://www.instagram.com/p/_u6B-Gnwz-/";;;#happy #blessed #dinnerisserved;"680538474441764864";https://twitter.com/T_RayBiz/status/680538474441764864
YoungAdventures;2015-12-25 15:59;0;9;"Had the best couple of days mostly disconnected and enjoying being home with my family for the holidays for the first time in years #happy";;;#happy;"680538464698380288";https://twitter.com/YoungAdventures/status/680538464698380288
TheElimArrival;2015-12-25 15:59;0;0;"A VERY Merry Christmas to everyone. May the great news of His birth bring great #JOY to you now and always. #Blessings .";;;#JOY #Blessings;"680538408645701632";https://twitter.com/TheElimArrival/status/680538408645701632
sarasumi;2015-12-25 15:59;0;1;"#repost Gear up for some #newyear detox. #love #peace #happiness https://www.instagram.com/p/_u-4jPtYQu/";;;#repost #newyear #love #peace #happiness;"680538373790908416";https://twitter.com/sarasumi/status/680538373790908416
buckythefrenchy;2015-12-25 15:59;1;5;"Opening presents #bucky #buckminsterfuller #christmas #frenchbulldog #frenchie #Vine #like #cute #happy #dog https://vine.co/v/iApQQJawgLP";;;#bucky #buckminsterfuller #christmas #frenchbulldog #frenchie #Vine #like #cute #happy #dog;"680538368405553153";https://twitter.com/buckythefrenchy/status/680538368405553153
HayleyEBooth;2015-12-25 15:59;0;1;"Two of my faves ❤️ 🎄 #Christmas #family #happy https://www.instagram.com/p/_u-3HKkW3c/";;;#Christmas #family #happy;"680538318766010368";https://twitter.com/HayleyEBooth/status/680538318766010368
maura4u;2015-12-25 15:59;0;2;"Sending #Happiness 2u @JoelBoggess @timjpcollins @ChrisSamples360 http://bit.ly/1NG37FV";;@JoelBoggess @timjpcollins @ChrisSamples360;#Happiness;"680538309832130560";https://twitter.com/maura4u/status/680538309832130560
Ninjatron1;2015-12-25 15:58;0;1;"May everyone have an amazing Holiday! #merry #christmas #family #happiness";;;#merry #christmas #family #happiness;"680538256862265346";https://twitter.com/Ninjatron1/status/680538256862265346
simplymenicx;2015-12-26 15:59;0;0;"Caramoan here we come! 😄 😊 😎 #besties #caramoan #instadaily #gopro #happiness @Sabang Port, San… https://www.instagram.com/p/_xjuWhoDO-/";;@Sabang;#besties #caramoan #instadaily #gopro #happiness;"680900875452198914";https://twitter.com/simplymenicx/status/680900875452198914
kathryn_ekblad;2015-12-26 15:59;0;0;"#Happy New Year!!!";;;#Happy;"680900853683720192";https://twitter.com/kathryn_ekblad/status/680900853683720192
voodooangelrah;2015-12-26 15:59;1;0;"@tattydevine I love my cute #robin brooch! #happy :)";;@tattydevine;#robin #happy;"680900794581970944";https://twitter.com/voodooangelrah/status/680900794581970944
luuh100br;2015-12-26 15:59;0;1;"Mae ❤ #mae #amormaior #love #amomuito #mother #family #smile #happy #smiles #amordemae … https://www.instagram.com/p/_xjsdWH-Qs/";;;#mae #amormaior #love #amomuito #mother #family #smile #happy #smiles #amordemae;"680900790580543489";https://twitter.com/luuh100br/status/680900790580543489
Jo_Mani;2015-12-26 15:59;0;0;"@jostuck >> #Joy #Revenant #Creed #TheBigShort #Legend #StarWarsAGAIN #Concussion #DaddysHome #Carol #Hateful8 #DanishGirl #Pointbreak YUP!";;@jostuck;#Joy #Revenant #Creed #TheBigShort #Legend #StarWarsAGAIN #Concussion #DaddysHome #Carol #Hateful8 #DanishGirl #Pointbreak;"680900785488527360";https://twitter.com/Jo_Mani/status/680900785488527360
lorinmariem;2015-12-26 15:59;0;3;"I read a book today, not a text book, a real work of fiction book. #ThatWasNice #LazyDayAfterChristmas #Blessed #Happy";;;#ThatWasNice #LazyDayAfterChristmas #Blessed #Happy;"680900716156735489";https://twitter.com/lorinmariem/status/680900716156735489
Berti_and_Ernie;2015-12-27 15:29;37;52;"If you like this #smile , consider that #Happiness for others is just a retweet away. #dogsarejoy";;;#smile #Happiness #dogsarejoy;"681255581299142660";https://twitter.com/Berti_and_Ernie/status/681255581299142660
Liza_Huber;2015-12-27 15:59;1;3;"Yes - we're here! Love. This. Place. 😃 #greatwolflodge #mason #happy @Great Wolf Lodge… https://www.instagram.com/p/_0Ifu7GjqG/";;@Great;#greatwolflodge #mason #happy;"681263192568410113";https://twitter.com/Liza_Huber/status/681263192568410113
GeorgiaatDell;2015-12-27 15:59;1;2;"Why #Exercising Makes Us #Happier . #happiness #exercise #sleep http://bit.ly/1IxyCD5";;;#Exercising #Happier #happiness #exercise #sleep;"681263127065931776";https://twitter.com/GeorgiaatDell/status/681263127065931776
JosimarNog;2015-12-27 15:59;0;1;"picnic day 🇺🇸 🇧🇷 #happy #midtown #picnic #atl @Piedmont Park https://www.instagram.com/p/_0IdQdqQ4E/";Atlanta, GA;@Piedmont;#happy #midtown #picnic #atl;"681263108879478785";https://twitter.com/JosimarNog/status/681263108879478785
KarenBomm;2015-12-27 15:59;0;0;"#Peace #Abundance #Happiness for all! http://fb.me/3ts2LWeQL";;;#Peace #Abundance #Happiness;"681263058069643264";https://twitter.com/KarenBomm/status/681263058069643264
NakiMediA;2015-12-28 15:59;0;0;"#art #nofilter #Love #Instagood #Photooftheday #Tbt #Cute #Me #Beautiful #Happy #Followme #Follow … https://www.instagram.com/p/_2tVBDmad7/";;;#art #nofilter #Love #Instagood #Photooftheday #Tbt #Cute #Me #Beautiful #Happy #Followme #Follow;"681625671932579840";https://twitter.com/NakiMediA/status/681625671932579840
GladDental;2015-12-28 15:59;1;0;"It's not too late to schedule your appointment and have that #sparkling smile for the #NewYear ! ✨ ✨ #Happy ... http://fb.me/1Zhmjggjs";;;#sparkling #NewYear #Happy;"681625518962118656";https://twitter.com/GladDental/status/681625518962118656
DanMassar;2015-12-28 15:58;0;1;"#Joy is definitely a showcase for Jennifer Lawrence. Enjoyed it. My issue with it was all the other characters were a bit cartoonish.";;;#Joy;"681625398195679232";https://twitter.com/DanMassar/status/681625398195679232
MiguelAHenry;2015-12-28 15:58;0;0;"Always learning. Gotta get back to the #KnowledgeSociety #Music #Health #wealth #happiness … https://www.instagram.com/p/_2tMPHLdlU/";;;#KnowledgeSociety #Music #Health #wealth #happiness;"681625361168338944";https://twitter.com/MiguelAHenry/status/681625361168338944
TheWhang;2015-12-28 15:58;0;0;"Heeeeyyy #Joy from #InsideOut got a spinoff.";;;#Joy #InsideOut;"681625340230418432";https://twitter.com/TheWhang/status/681625340230418432
etcPB;2015-12-28 15:58;0;0;"RT: Namelessradwa: RT stylinsonphones: Louis Tomlinson FREE lockscreen! RT IF SAVING!BE HONEST! -Natalie 💕 #Happy … http://goo.gl/XGUl4V";;;#Happy;"681625268344221696";https://twitter.com/etcPB/status/681625268344221696
1996msb;2015-12-28 15:57;0;1;"The boss! #dog #bossdog #funny #jokes #animal #happy #silly #puppy https://www.instagram.com/p/_2tGMUpJyC/";;;#dog #bossdog #funny #jokes #animal #happy #silly #puppy;"681625153411891200";https://twitter.com/1996msb/status/681625153411891200
ellenchristine;2015-12-29 15:59;0;1;"the #callofthewild the mystery of the sea the #romance of #PuertoRico #tropical #happy #condado … https://www.instagram.com/p/_5SICXp-kg/";;;#callofthewild #romance #PuertoRico #tropical #happy #condado;"681988063787024385";https://twitter.com/ellenchristine/status/681988063787024385
keancarmi;2015-12-28 22:40;5;5;"@ChantalColland @MCal54 @cecynoguez Merci Chantal Beautiful Paris 🗼 #Peace #Joy 💕 #Love to you all.";;@ChantalColland @MCal54 @cecynoguez;#Peace #Joy #Love;"681726383601659904";https://twitter.com/keancarmi/status/681726383601659904
manishgrover;2015-12-29 15:59;0;0;"What makes a good life? Lessons from the longest study on happiness https://www.ted.com/talks/robert_waldinger_what_makes_a_good_life_lessons_from_the_longest_study_on_happiness @TEDTalks #life #happiness";;@TEDTalks;#life #happiness;"681987985143906305";https://twitter.com/manishgrover/status/681987985143906305
VDELROSAL;2015-12-29 15:59;0;1;"Just... #Happy #InLove#Thankful#MyOtherHalf#RFl3#PowerCouple#BusinessDay @MrRobertNewland #MyLove#Vhappy 🙋🏻 💕 🎉 🦁 ❤ http://www.whosay.com/l/zxQbn3y";;@MrRobertNewland;#Happy #InLove #Thankful #MyOtherHalf #RFl3 #PowerCouple #BusinessDay #MyLove #Vhappy;"681987965141254144";https://twitter.com/VDELROSAL/status/681987965141254144
FrancoVazquezDY;2015-12-29 15:58;0;0;"#np @Pharrell #Happy";;@Pharrell;#np #Happy;"681987721880039424";https://twitter.com/FrancoVazquezDY/status/681987721880039424
BettysLove;2015-12-30 15:59;0;0;"Share my #commitment to help #Alz #dementia #PD #ADHD #autism #families like yours & mine find #JOY always for FREE: http://maureengavan.com/about/advocacy/";;;#commitment #Alz #dementia #PD #ADHD #autism #families #JOY;"682350431851425795";https://twitter.com/BettysLove/status/682350431851425795
TConnection01;2015-12-30 15:59;2;6;"Just do it. Thank you for sharing Loucinda. #postsecret #2016 #justdoit #newyear #resolution #happiness #movingforw …";;;#postsecret #2016 #justdoit #newyear #resolution #happiness #movingforw;"682350425761251328";https://twitter.com/TConnection01/status/682350425761251328
noonaeri;2015-12-30 15:59;0;0;"#yummy #family #twister #happy @Kentucky Fried Chicken - Open Plaza Angamos https://www.instagram.com/p/_724ydD2ML/";Surquillo, Peru;@Kentucky;#yummy #family #twister #happy;"682350372871122944";https://twitter.com/noonaeri/status/682350372871122944
RelaxInMiami;2015-12-30 15:59;0;0;"valereca_miss: Ehehe..Happy new year! 🌊 ☀️ ⛱ 🍹 #miami #miamibeach #winterholiday #happy #usa #bahamas #valentinarecan … https://twitter.com/valereca_miss/status/682350086412697600/photo/1";;;#miami #miamibeach #winterholiday #happy #usa #bahamas #valentinarecan;"682350365476544512";https://twitter.com/RelaxInMiami/status/682350365476544512
mscoffeebrown;2015-12-30 15:59;0;0;"#salon #celebrity #happy #hair #tinc #eyelash #hairstyle #boogz #instagood #jewelry #music #vegas … https://www.instagram.com/p/_720mgFplE/";;;#salon #celebrity #happy #hair #tinc #eyelash #hairstyle #boogz #instagood #jewelry #music #vegas;"682350229342040065";https://twitter.com/mscoffeebrown/status/682350229342040065
